,사고번호,사고일시,요일,도로종류,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연령대,가해연령대
2464,2021013000100033,5,토요일,경인,경기도,중상사고,0,2,0,0,차대차 - 기타,차로위반,-,맑음,단일로 - 기타,승용,0,22,중상,승용,0,41,상해없음,20.0,20.0
2465,2021020400100147,9,목요일,경인,인천광역시,경상사고,0,0,1,1,차대차 - 측면충돌,안전거리미확보,-,눈,단일로 - 교량,승용,0,62,부상신고,화물,0,37,경상,60.0,60.0
2466,2021020800100092,8,월요일,경인,경기도,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,-,맑음,단일로 - 기타,승용,0,61,상해없음,승용,0,44,경상,,
2467,2021021800100553,23,목요일,경인,서울특별시,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,-,맑음,단일로 - 기타,승용,0,36,상해없음,승용,0,48,상해없음,30.0,30.0
2468,2021022100100405,23,일요일,경인,인천광역시,부상신고사고,0,0,0,1,차대차 - 기타,차로위반,-,맑음,단일로 - 기타,기타불명,2,0,기타불명,승용,0,28,부상신고,20.0,20.0
2469,2021022200100545,21,월요일,경인,인천광역시,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,승용,0,59,상해없음,승용,0,40,중상,50.0,50.0
2470,2021022800100160,13,일요일,경인,인천광역시,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,-,맑음,단일로 - 기타,승용,0,46,상해없음,승용,1,28,중상,40.0,40.0
2471,2021030200100445,19,화요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,-,맑음,단일로 - 기타,특수,0,51,상해없음,승용,0,32,경상,,
2472,2021030500100117,8,금요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,승용,1,51,상해없음,승용,1,38,경상,,
2473,2021040800100115,8,목요일,경인,인천광역시,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,-,맑음,교차로 - 교차로부근,승용,0,50,상해없음,승용,1,44,경상,40.0,40.0
2474,2021040800100326,14,목요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 교량,승용,1,43,상해없음,화물,0,46,경상,40.0,40.0
2475,2021041400100571,23,수요일,경인,인천광역시,중상사고,0,1,1,0,차대차 - 기타,안전거리미확보,-,맑음,단일로 - 교량,승용,0,34,기타불명,승용,0,62,중상,30.0,30.0
2476,2021041900100151,9,월요일,경인,경기도,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,-,맑음,기타 - 기타,승용,1,31,상해없음,승용,0,37,경상,,
2477,2021041900100525,20,월요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,-,맑음,단일로 - 교량,승용,0,59,상해없음,승용,0,29,경상,50.0,50.0
2478,2021042200100407,17,목요일,경인,경기도,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,-,맑음,단일로 - 기타,승용,0,60,상해없음,승용,0,47,경상,50.0,50.0
2479,2021042600100015,4,월요일,경인,인천광역시,경상사고,0,0,3,0,차대차 - 기타,기타,-,맑음,단일로 - 기타,화물,0,61,상해없음,승용,1,30,경상,,
2480,2021042700100350,16,화요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 교량,승용,0,58,상해없음,승용,0,50,상해없음,50.0,50.0
2481,2021042900100423,17,목요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,-,맑음,단일로 - 기타,승용,0,58,상해없음,승용,1,24,경상,50.0,50.0
